playlist_name,playlist_img,track_name,track_uri,artist_name,album_name,album_img
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Nel blu dipinto di blu - Volare,0VQ3MYFzlP7v9MW0nfDqEO,Johnny Dorelli,Il festival di Sanremo: Charts 1958,https://i.scdn.co/image/d267be1f828150125e5644cd52aa75c57ed87a1f
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Piove,2YQX5Caa77BzSpLo6mmb5a,Domenico Modugno,Piove,https://i.scdn.co/image/818253b8eec4b33b75878dfdc1840f4666b7ed5e
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Piove,5HXIewQynkMB7xilKhlirA,Johnny Dorelli,"Sanremo Story, Vol. 1",https://i.scdn.co/image/aa9946f96bf2ce63d4bb42df0d2dfb9777e0b178
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Romantica,2s62oaSjvN7VBVgZ1RiVX9,Tony Dallara,Sanremo story 1960,https://i.scdn.co/image/de4e9206feeef68e5cdc811e6cfc694969509d68
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Romantica,0rIRQzND7Ygkc8dD4Up26P,Renato Rascel,Italy - 100 Romantic Classics,https://i.scdn.co/image/5492176a58832251eafeaf412a4e8f4a7c307fd3
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Al di là,4AZrGY8svkIylX1aPJY7LB,Betty Curtis,Le più belle canzoni,https://i.scdn.co/image/3c881d69564a602943cfd5a8c839ce264898df6a
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Al di là,1pGs3w5LgKmMQXEDwvTEMV,Luciano Tajoli,Luciano Tajoli: Le grandi voci della canzone italiana,https://i.scdn.co/image/1373ef77fe38ecc9f0e66eed3a0e676309577eb7
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Addio... addio,08oziGMPx2H8bVgTanwwj3,Domenico Modugno,Stasera pago io,https://i.scdn.co/image/23e0c950585bd9e8c0901dadd1a4c5d99af3b486
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Addio...addio,1YG0S83N2nnx3OHJ1xawKS,Claudio Villa,Claudio Villa ed i suoi più grandi successi (78 canzoni),https://i.scdn.co/image/7bae70f82a5c92e47632f99dfe59aa1bb2b831db
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Uno per tutte,4f3KHR3AMke3WmaciwlCLp,Tony Renis,Festival di Sanremo 1963,https://i.scdn.co/image/5e9b5e811858b001095021ccc11e7c002f6c7869
