danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode
0.274,0.667,D,-6.459,major,0.0695,0.699,0,0.625,0.27,170.097,52PTQKkfOwng8lv7ttNdGX,246120,3,D major
0.535,0.588,C,-8.887,major,0.0472,0.125,2.13e-5,0.123,0.461,101.665,1p5RfaVSHJhd3SCzBEikDp,216667,4,C major
0.482,0.729,F,-7.823,minor,0.0637,0.00656,7.72e-5,0.109,0.506,117.199,4431Ew1ndtl1qTWdBNFjtU,211613,4,F minor
0.61,0.621,F,-10.343,major,0.0321,0.0621,3.57e-4,0.391,0.68,141.96,1MNWaUhByjbfwhhWa9NSSC,242733,4,F major
0.648,0.638,E,-6.096,minor,0.0291,0.202,0,0.267,0.436,116.024,4DeKhA9cE6MuPxCOrkTgs2,208840,4,E minor
0.776,0.537,B,-11.703,minor,0.031,0.145,5.76e-6,0.0887,0.677,111.975,6Pm5m45fMlLOJ8pKBHKzSc,204707,4,B minor
0.464,0.377,F,-11.676,minor,0.0356,0.338,0,0.11,0.326,136.47,07CPBe6hvgHgn749mxR0EJ,303827,4,F minor
0.594,0.533,D,-10.092,major,0.0375,0.4,0,0.0869,0.265,114.504,7HAuQMhvEKtZCGBKZiyj66,267520,4,D major
0.394,0.533,E,-9.648,major,0.0393,0.474,1.42e-6,0.19,0.422,134.955,2xgQvq4WuBX9DLmPkeBQ3M,251533,4,E major
0.474,0.563,F,-5.106,major,0.035,0.765,0,0.122,0.162,138.031,1KzEz2YM5TVHG2oL2GIG6E,241853,4,F major
0.425,0.437,A,-12.198,minor,0.0341,0.618,0,0.135,0.162,72.105,6XpjIhIhIA5AGTyk06FNKU,243227,4,A minor
0.535,0.607,C#,-3.383,minor,0.0283,0.264,0,0.161,0.292,95.93,3V2TMVsl5LlDvEVff9hw31,279973,4,C# minor
0.543,0.27,G,-12.885,major,0.0408,0.867,0,0.106,0.291,139.676,5DvPcu353BOXWUiG7yIIDq,225400,4,G major
0.541,0.833,D,-6.309,major,0.0655,0.312,0,0.225,0.524,133.788,1xxmZO56xoHtjczSHsjOhW,245e3,4,D major
0.695,0.53,E,-7.238,major,0.0293,0.05,0,0.128,0.188,136.018,70MmyszwZV1tU7UKZXmaF1,275487,4,E major
0.44,0.453,E,-8.644,major,0.0352,0.369,0,0.207,0.135,135.996,1mJQoOICr4UlV6nG3EI4NN,300307,4,E major
0.643,0.564,C,-9.464,major,0.108,0.228,0,0.695,0.604,91.104,5BLeqpzTmzKDaN51DNKM1b,281333,4,C major
0.532,0.751,E,-7.242,minor,0.0458,0.461,0,0.0827,0.737,179.98,5ZS9fcqcYtfL80rj1bf7Lb,231733,4,E minor
0.59,0.447,B,-7.092,major,0.0266,0.406,1.3e-6,0.102,0.198,74.979,0R7PN6VlpaGnR59etZe1XH,253880,4,B major
0.61,0.962,B,-2.365,major,0.0425,0.203,0,0.159,0.649,110.565,5w3MrGXEz3aREGQTIBKeyo,283107,4,B major
0.584,0.396,C,-9.763,major,0.0286,0.283,0,0.123,0.292,91.861,6zG6TbfzPDK2xRgS6MvH7J,239493,4,C major
0.645,0.626,F,-5.582,major,0.0788,0.268,0,0.0716,0.463,89.056,09g4hFrDdBK3J52I3InPgl,264533,4,F major
0.734,0.512,B,-7.695,major,0.0289,0.154,0,0.107,0.648,116.47,157ZzylmZsjQWXm8TSDkWL,247533,4,B major
0.534,0.641,A,-5.565,major,0.0255,0.459,0,0.318,0.325,87.13,5qdeseBpU31NBAlySaaRMk,235493,4,A major
0.4,0.62,D#,-6.916,major,0.0284,0.417,0,0.112,0.181,81.95,4oRcqiKPIprx4EwOm5c9U6,204760,4,D# major
0.64,0.692,B,-5.997,major,0.0403,0.577,0,0.236,0.756,151.965,7gHSbG6fFD8tuMoAWNWqoI,178733,4,B major
0.519,0.658,B,-8.199,minor,0.0549,0.447,3.18e-6,0.119,0.807,169.774,6ElESrhqjS1PJDDOMTotYe,231813,4,B minor
0.582,0.729,C#,-4.417,major,0.034,0.046,0,0.0847,0.474,120.97,7BWvUqHLziROVeKttUQVfT,227840,4,C# major
0.619,0.536,F#,-7.015,major,0.0407,0.495,0,0.117,0.135,124.059,1qBKrPkpVNu11W4tjY88Gj,238080,4,F# major
0.479,0.663,A,-3.325,major,0.0413,0.636,0,0.131,0.328,74.501,2D6t8TtB1cpgXK1L1fJ5P5,253987,4,A major
0.569,0.731,F#,-5.853,major,0.0342,0.042,0,0.129,0.322,126.884,7lx7ourd9AVFIBXFTCWXx8,225253,4,F# major
0.556,0.632,F#,-4.438,major,0.0359,0.196,0,0.114,0.152,126.03,5klQSk2bLb0U3vnvGJUZf4,218893,4,F# major
0.703,0.555,C#,-6.173,major,0.0284,0.508,0,0.134,0.327,95.01,00JbznfNVCiSSqLXI7wd5B,219200,4,C# major
0.466,0.617,C#,-5.853,major,0.029,0.0586,9.2e-5,0.147,0.177,142.121,4hWQaCHO3k3bTYi8AozKTE,224947,4,C# major
0.401,0.75,A,-4.597,major,0.0296,0.0418,0,0.113,0.258,174.02,3KFmkaurkJTvBAZG5ZjnuU,244747,4,A major
0.669,0.832,A#,-4.014,major,0.075,0.0424,3.89e-6,0.111,0.582,114.046,4UPyr3Tep8idtAmisAu1qs,217625,4,A# major
