anno	cantanti	titolo	lyrics
1971	Nada, Nicola Di Bari	Il cuore è uno zingaro	"avevo una ferita in fondo al cuore soffrivo soffrivo… le dissi non è niente ma mentivo piangevo piangevo per te si è fatto tardi è già notte non mi tenere lasciami giù mi disse non guardarmi negli occhi e mi lasciò cantando così: "" che colpa ne ho se il cuore è uno zingaro e va catene non ha il cuore è uno zingaro e va finché troverà il prato più verde che c'è raccoglierà le stelle su di se e si fermerà chissà… e si fermerà"" l' ho vista un anno dopo l'altra sera rideva rideva mi strinse lo sapeva che il mio cuore batteva batteva mi disse stiamo insieme stasera che voglia di rispondere sì… ma senza mai guardarla negli occhi io la lasciai cantando così: "" che colpa ne ho"
1972	Nicola Di Bari	I giorni dell’arcobaleno	erano i giorni dell'arcobaleno finito l'inverno tornava il sereno e tu con negli occhi la luna e le stelle sentivi una mano sfiorare la tua pelle e mentre impazzivi al profumo dei fiori la notte si accese di mille colori distesa sull'erba come una che sogna giacesti bambina ti alzasti già donna tu adesso ti vedi grande di più sei diventata più forte e sicura e iniziata la avventura ormai sono bambine le amiche di prima che si ritrovano in gruppo a giocare e sognano ancora su un raggio di luna vivi la vita di donna importante perché a sedici anni ai già avuto un amante ma un giorno saprai che ogni donna è matura all'epoca giusta e con giusta misura e in questa tua corsa incontro all'amore ti lasci alle spalle il tempo migliore erano i giorni dell'arcobaleno finito l'inverno tornava il sereno
1973	Peppino Di Capri	Un grande amore e niente più	io lontano da te pescatore lontano dal mare io chiedo da bere a una fonte asciugata dal sole solitudine e malinconia i soprammobili di casa mia qualche libro una poesia e sul piano una fotografia io e te un grande amore e niente più io e te le nostre corse fin laggiù là dove c'e la capanna scoperta da noi dove tu mi dicesti vorrei amore vorrei stasera vorrei notti notti d'amore nel silenzio il tuo nome il mio nome ma non risale l'acqua nel fiume nemmeno il tuo amore ritorna da me solitudine e malinconia in ogni angolo in ogni via ti rimprovero una sola cosa che potevi almeno dirmi scusa io e te un grande amore e niente più io e te le nostre corse fin laggiù là dove c'è la capanna scoperta da noi dove tu mi dicesti vorrei amore vorrei stasera vorrei io e te
1974	Iva Zanicchi	Ciao cara come stai?	mi svegliaiscivolando e avevo scarpe di cuoio me ne andairespirando d'amore io muoio cara baby ciaociaociao non c'è un perché il ragazzo è triste non so perché it's all right it's all right giorni neri giorni persi velati di sonno sempre uguali e diversi comunque che vanno cara baby ciao ciao ciao ora come stai io sto sempre uguale come vuoi che sto it's all right it's all right tuo fino alla fine del mondo se pur con te o senza di te non posso vivere fino in fondo tuo fino alla fine del mondo my baby baby it's all right it's all right mia nel cuore nell'anima e nel fango seppur con me o senza di me non puoi vivere in fondo mia fino alla fine del mondo baby baby it's all right lo sai my baby baby it's all right lo so
1975	Gilda	Ragazza del Sud	per le strade di torino polizia e malviventi sono tutti di una razza sono figli degli stenti meridione disperato sole mare e poesia o banditi per le strade o arruolati in polizia ragazzo del sud non ti rimane che andare in polizia o come alternativa una rapina a una gioielleria di tutti i tuoi fratelli sei l'unico che ha studiato il grande è già a torino e in polizia si è già arruolato per le strade di torino polizia e malviventi sono tutti di una razza sono figli degli stenti meridione disperato sole mare e poesia o banditi per le strade o arruolati in polizia ragazzo del sud mentre scappavi un poliziotto ti ha sparato una raffica di mitra e sei rimasto a terra fulminato con una calza nera ha il viso incappucciato ma sotto il volto vero di tutto il sud emarginato per le strade di torino polizia e malviventi sono tutti di una razza sono figli degli stenti meridione disperato sole mare e poesia o banditi per le strade o arruolati in polizia na na na ni na na na ni ni per te è piu facile sei modugno na na na ni na na ni ni
1976	Peppino Di Capri	Non lo faccio più	"strofa hey scusa eri tu che ce l’avevi con me ora la tua coerenza dov’è fanno tutti come te mi insultano poi mi chiedono: “ scusa posso fare un pezzo con te così di copie ne vendo tre"" invece che zero prima non c’ero perdonami scusa che pensi che davvero ho i piedi sul parquet se serve arrivo fino sulla luna e se muoio nel tragitto prendi le mie ceneri e fumale scusa se ogni anno scrivo due dischi ho il cuore nel fango se perderò perderò la partita sul campo la vita è una troia perdita durango ti ci vuoi mettere te al mio posto mi vuoi vendicare allo sbando con la cervicale mi sveglio e canto come le cicale nella testa ho un cinema a venti sale non chiudo occhio da due settimane perciò se mi ribalto per verticale perdonami scusa se ora sono più famoso ma tranquillo che rimango con la voce rauca sempre rumoroso faccio splendere due raggi quand è nuvoloso non mi invento una scusa vieni a un live te ne vai dimagrito da anni in ogni rima grido la cassa spinge io sono il marito quindi chiedimi ritornello scusa eh non lo faccio più non lo faccio più no scusa non lo faccio più no non lo faccio più no scusa eh non lo faccio più non lo faccio più no scusa scusa scusa scusa strofa scusa se la mattina presto mi stresso ancora mentre mi fumo le lenzuola con il cuore a trecento all’ora vi chiedo scusa se poi scrivo alle quattro di notte perché sto sempre sfranto di notte mi sono fatto odiare un sacco di volte vi chiedo scusa perché lo faccio con il cuore nonostante tutto ne ho bevuti due di troppo cento stasera per il gran debutto la vita ci usa mica male non la devi neanche richiamare dai ricordi io ci posso ricamare e uso la musica al posto di parlare ma pare una scusa perché giro con chi la soluzione per vivere fra non l’ha vista una vita col copione da solista un coglione masochista no dai pause lunghe così penso a cosa devo dire il corpo ora me lo posso demolire dovrebbe essere già morto però vive e gli chiedo scusa perché ho preso di tutto la forza di volontà a zero strillo solo al pensiero di rimanere solo davvero guardami negli occhi sono sempre lo stesso fin quando mi prendono l’impronta col gesso per spiegarlo uso ogni mezzo concesso senza una ritornello scusa eh non lo faccio più non lo faccio più no scusa non lo faccio più no non lo faccio più no scusa eh non lo faccio più non lo faccio più no scusa scusa scusa scusa scusa"
1977	Homo Sapiens	Bella da morire	"nei films d'amore vince sempre il bene e chi si lascia torna sempre insieme ma per noi due c'è un'altra fine adesso la folla tra i colombi che ci osserva il freddo i nostri aliti la nebbia e piangere domenica mattina qui per te che sei bella da morire ragazzina tu sul tuo seno da rubare io non gioco più e sei bella da morire tutto sembra un film da girare troppo in fretta con la ""fine"" sopra i tuoi blue-jeans a sedici anni non si perde il cuore nemmeno quando provi a far l'amore e tu con me hai vinto tutto quanto di te rimane solo una maglietta lasciata sopra il letto in tutta fretta e il pianto di domenica mattina qui per te che sei bella da morire ragazzina tu sul tuo seno da rubare io non gioco più e sei bella da morire tutto sembra un film da girare troppo in fretta con la ""fine"" sopra i tuoi blue-jeans e sei bella da morire tutto sembra un film da girare troppo in fretta con la ""fine"" sopra i tuoi blue-jeans"
1978	Matia Bazar	…e dirsi ciao!	se il sole da lassu' di colpo tinge il blu di buio e se ne va e se il mare azzurro ritmo non ha piu' e onda dopo onda rubera' la spiaggia della mia felicita' e poi se il vento che cantava insieme a noi stonate queste note soffiera' vuol dire separarci e dirsi ciao ma se l'alba spunta e poi anticipando in noi il giorno che verra' e se una rondine dispersa il sole avra' la forza della sua comunita' per continuare il viaggio fino al sud e poi se il fuoco del camino brillera' per sempre con amore e senza eta' vuol dire ritrovarsi e dirsi ciao
1979	Mino Vergnaghi	Amare	"passed out on the overpass sunday best and broken glass broken down from the bikes and bars suspended like spirits over speeding cars you and me were kings over the parkway tonight and tonight will go on forever while we walk around this town like we own the streets and stay awake through summer like we own the heat singing— "" everybody wake up it's time to get down""   wake up everybody everybody wake up it's time to get down and when i pass the bottle back to pete on the overpass tonight i bet we laugh i'm gonna stay eighteen forever so we can stay like this forever and we'll never miss a party ' cause we keep them goin' constantly and we'll never have to listen to anyone about anything ' cause it's all been done and it's all been said we're the coolest kids and we take what we can get cut me open sun poisoned this offer stands forever new haircut new bracelet eyeliner —the hell out of this town find some conversation the low-fuel light's been on for days it doesn't mean anything i've got another 'nother miles before we shut this engine down we shut it down i'm gonna stay eighteen forever so we can stay like this forever and we'll never miss a party ' cause we keep them goin' constantly and we'll never have to listen to anyone about anything ' cause it's all been done and it's all been said we're the coolest kids and we take what we can get cut me open sun poisoned this offer stands forever new haircut new bracelet eyeliner wait forever eighteen forever so we can stay like this forever and we'll never miss a party ' cause we keep them going constantly and we'll never have to listen to anyone about anything ' cause it's all been done and it's all been said we're the coolest kids and we take what we can get you're just jealous 'cause i'm young and in love your stomach's filled up but you're starved for conversation you're spending all your nights growing old in your bed and your tearin' up your photos ' cause you want to forget— it's over you're just jealous 'cause i'm young and in love your stomach's filled up but you're starved for conversation you're spending all your nights growing old in your bed and you're tearin' up your photos ' cause you want to forget— it's over just jealous cause we're young and in love you're just jealous 'cause we're young and in love you're just jealous 'cause we're young and in love you're just jealous 'cause we're young and in love you're just jealous 'cause we're young and in love you're just jeal—"
1980	Toto Cutugno	Solo noi	strofa siamo solo noi che andiamo a letto la mattina presto e ci svegliamo con il mal di testa siamo solo noi che non abbiamo vita regolare che non ci sappiamo limitare siamo solo noi che non abbiamo più rispetto per niente neanche per la mente siamo solo noi quelli che poi muoiono presto quelli che però è lo stesso strofa siamo solo noi che non abbiamo più niente da dire dobbiamo solo vomitare siamo solo noi che non vi stiamo neanche più ad ascoltare siamo solo noi quelli che non han più rispetto per niente neanche per la gente siamo solo noi quelli che ormai non credono più a niente e vi fregano sempre strofa siamo solo noi che tra demonio e santità è lo stesso basta che ci sia posto siamo solo noi che facciamo colazione anche con un toast del resto siamo solo noi quelli che non han voglia di far niente rubano solamente siamo solo noi generazione di sconvolti che non han più santi né eroi siamo solo noi siamo solo noi siamo solo- siamo solo noi siamo solo noi siamo solo noi siamo solo noi siamo solo noi
1981	Alice	Per Elisa	per elisa vuoi vedere che perderai anche me per elisa non sai più distinguere che giorno è e poi non è nemmeno bella per elisa paghi sempre tu e non ti lamenti per lei ti metti in coda per le spese e il guaio è che non te ne accorgi con elisa guardi le vetrine e non ti stanchi lei ti lascia e ti riprende come e quando vuole lei riesce solo a farti male vivere vivere vivere non è più vivere lei ti ha plagiato ti ha preso anche la dignità fingere fingere fingere non sai più fingere senza di lei senza di lei ti manca l'aria senza elisa non esci neanche a prendere il giornale con me riesci solo a dire due parole ma noi un tempo ci amavamo con elisa guardi le vetrine e non ti stanchi lei ti lascia e ti riprende come e quando vuole lei riesce solo a farti male vivere vivere vivere non è più vivere lei ti ha plagiato ti ha preso anche la dignità fingere fingere fingere non sai più fingere senza di lei senza di lei ti manca l'aria vivere non è più vivere per elisa con elisa
1982	Riccardo Fogli	Storie di tutti i giorni	m fabrizio/ g morra/ r fogli storie di tutti i giorni vecchi discorsi sempre da fare storie ferme sulle panchine in attesa di un lieto fine; storie di noi brava gente che fa fatica s'innamora con niente vita di sempre ma in mente grandi idee un giorno in più che se ne va un orologio fermo da un'eternità per tutti quelli così come noi da sempre in corsa sempre a metà; un giorno in più che passa ormai con questo amore che non è grande come vorrei storie come amici perduti che cambiano strada se li saluti; storie che non fanno rumore come una stanza chiusa a chiave; storie che non hanno futuro come un piccolo punto su un grande muro dove scriverci un rigo a una donna che non c'è più un giorno in più che se ne va un uomo stanco che nessuno ascolterà per tutti quelli così come noi senza trionfi né grossi guai; un giorno in più che passa ormai con questo amore che non è bello come vorrei storie come anelli di fumo in un posto lontano senza nessuno solo una notte che non finisce mai un giorno in più che se ne va dimenticato tra i rumori di città per tutti quelli così come noi niente è cambiato e niente cambierà; un giorno in più che passa ormai con questo amore che non è forte come vorrei storie di tutti i giorni vecchi discorsi sempre da fare storie ferme sulle panchine in attesa di un lieto fine
1983	Tiziana Rivale	Sarà quel che sarà	strofa : neffa la tele resta spenta e non la guardo più ho un nodo in gola che è difficile mandare giù fumo un po' sposto via la tenda cielo grigio piombo io non lascio che mi prenda la nostalgia che sale lentamente come mai io penso a te mi chiedo adesso dove sei cosa fai chissà se tu avrai mai pensato a me al nostro fuoco che bruciava e mo' è cenere ma tutto passa piano e pure se fa strano io sorrido perché so che oggi non ti chiamerò quel che viene venga e mi sta bene quel che è stato è già passato e mo' il passato se lo tiene piove già da un tot la pioggia bagna la mia pelle ma mi asciugherò perché so che il tempo è ciclico e so che un po' di tempo è quello che ci vuole mentre un guaglione sta scacciando il male sta aspettando il sole ritornello: giuliano palma oggi non c'è sole intorno a me non c'è salvami risplendi e scaldami non c'è più sole voglio il sole cerco nuova luce nella confusione di un guaglione di un guaglione strofa : neffa e oggi è come ieri ma forse è un'impressione frutto della mente di un guaglione sarà che non c'è il sole sarà che tutto sembra resti uguale sarà quel che sarà sono preso male ma nessuno chiama e non so chi chiamare cerco di schiodarmi e penso solo a quello che ho da fare uh gesù gesù sono io la vittima dei demoni che tornano e che vengono a tirarmi giù i miei cattivi pensieri che mi aspettano braccano parlano e parlano dove sono i raggi che scaldavano un guaglione dove sono gli altri della mia ballotta mo' che sono nel ciclone in dopa trovo la mia cura in dopa mischio le radici e la cultura e ho energia pura la musica mi detta le parole caccio queste rime e so che prima o poi ritorna il sole ritornello: giuliano palma oggi non c'è sole intorno a me non c'è salvami risplendi e scaldami non c'è più sole voglio il sole cerco nuova luce nella confusione di un guaglione di un guaglione strofa : neffa & giuliano palma vada come vada e va da sé conto solo su di me e già so che già sai che un chico fa quel che s'ha da fare quando amore non c'è devo impustare perché in tasca manca mone sempre più difficile restare calmo in questa situazione sclero non ne voglio più parto da zero so che in qualche modo devo andare su ma non c'è più luce solo buio che fa male non c'è più pace solo rabbia che ogni giorno sale so bene dove sono e adesso voglio stare qui sentire il beat se sei all'ascolto vieni a prendermi rapiscimi musica colpisci al cuore boom cha boom cha però non c'è dolore distendi le tue mani guaritrici su un guaglione mentre sta aspettando il sole ayo ritornello: giuliano palma oggi non c'è sole intorno a me non c'è salvami risplendi e scaldami non c'è più sole voglio il sole cerco nuova luce nella confusione di un guaglione di un guaglione oggi non c'è sole intorno a me non c'è salvami risplendi e scaldami non c'è più sole voglio il sole cerco nuova luce nella confusione di un guaglione di un guaglione oggi non c'è sole intorno a me non c'è salvami risplendi e scaldami non c'è più sole voglio il sole cerco nuova luce nella confusione di un guaglione di un guaglione oggi non c'è sole intorno a me non c'è salvami risplendi e scaldami non c'è più sole voglio il sole cerco nuova luce nella confusione di un guaglione di un guaglione
1984	Al Bano, Romina Power	Ci sarà	romina: dopo questa vita che si dimentica di te dopo questo cielo senza arcobaleno dopo la malinconia che mi prende a ogni bugia dopo tutta questa voglia di sereno dimmi chi ci sarà al bano: dopo il sogno delle hawaii come i tutti marinai attraverso questo mare di cemento dopo un altro inverno che soffia neve su di me che ho già freddo se non sono accanto a te both: devi crederci ci sarà una storia d'amore ed un mondo migliore ci sarà un azzurro più intenso in un cielo più immenso ci sarà la tua ombra al mio fianco vestita di bianco ci sarà anche un modo più umano per dirsi ti amo di più romina: dopo un oggi che non va dopo tanta vanità e nessuno che ti dà niente per niente al bano: dopo tutto il male che c'è nel mondo intorno a te com'è bello ritrovarti accanto a me both: devi crederci ci sarà una storia d'amore ed un mondo migliore ci sarà un azzurro più intenso in un cielo più immenso ci sarà la tua ombra al mio fianco vestita di bianco ci sarà anche un modo più umano per dirsi ti amo
1985	Ricchi e Poveri	Se m’innamoro	all eyes on me et ouais all eyes on me c'est le p m p le p m p marwa loud all eyes on me all eyes on me c'est d j sem couplet j'veux pas qu'on m'explique j'veux pas prendre de risque j'ai pas peur de finir solo j'veux aucune aide j'veux aucune trêve y'a que you qui peut m'trouver mes mélos maintenant j'aimerais m'casser d'ici me barrer très loin me barrer aux îles j'veux qu'la mer témoigne contre moi qu'elle se plaigne de nous voir tout le mois qu'elle se plaigne de moi qu'elle se plaigne de toi j'veux aller danser mais j'ai trop d'regard sur moi où sont mes amis où sont mes ennemis j'ai rien d'spécial pourtant all eyes on me refrain x mi corazón mi corazón maman m'a dit attention mi corazón ils en font des tonnes car j'les étonne j'veux plus les calculer j'ai éteint l'téléphone couplet c'est pas contre toi mais c'est important j'le fais pas pour toi j'le fais pour qu'on m'entende t'observes mon entourage tu fais l'reporter tu jalouses car le tien n'a rien à t'apporter ouais ouais dans ma folie j'trouve plein d'mélodie j'attends la nuit pour faire le tour d'ma ville j'ai vu ton mec il est pas trop poli toi t'es dans l'love ouais tu l'aimes fois mille et ouais tu l'aimes fois mille tu vois plus tes copines tu lui aurais tout donné il a tapé dans l'mile refrain x mi corazón mi corazón maman m'a dit attention mi corazón ils en font des tonnes car j'les étonne j'veux plus les calculer j'ai éteint l'téléphone pont x all eyes on me j'suis perdue j'retrouve plus mes ennemis ouais all eyes on me j'marche dans ma ville et j'repense à ma vie refrain x mi corazón mi corazón maman m'a dit attention mi corazón ils en font des tonnes car j'les étonne j'veux plus les calculer j'ai éteint l'téléphone
1986	Eros Ramazzotti	Adesso tu	nato ai bordi di periferia dove i tram non vanno avanti più dove l'aria è popolare è più facile sognare che guardare in faccia la realtà quanta gente giovane va via a cercare più di quel che ha forse perché i pugni presi a nessuno li ha mai resi e dentro fanno male ancor di più ed ho imparato che nella vita nessuno mai ci da di più ma quanto fiato quanta salita andare avanti senza voltarsi mai e ci sei adesso tu a dare un senso ai giorni miei va tutto bene dal momento che ci sei adesso tu ma non dimentico tutti gli amici miei che sono ancora là e ci si trova sempre più soli a questa età non sai non sai ma quante corse ma quanti voli andare avanti senz'arrivare mai e ci sei adesso tu al centro dei pensieri miei la parte interna dei respiri tu sarai la volontà che non si limita tu che per me sei già una rivincita adesso sai chi è quell'uomo che c'è in me nato ai bordi di periferia dove non ci torno quasi più resta il vento che ho lasciato come un treno già passato oggi che mi sei accanto oggi che si sei soltanto oggi che ci sei adesso tu
1987	Gianni Morandi, Enrico Ruggeri, Umberto Tozzi	Si può dare di più	in questa notte di venerdì perché non dormi perché sei qui perché non parti per un week-end che ti riporti dentro di te cosa ti manca cosa non hai cos'é che insegui se non lo sai se la tua corsa finisse qui forse sarebbe meglio cosi ma se afferri un'idea che ti apre una via e la tieni con te o ne segui la scia risalendo vedrai quanti cadono giù e per loro tu puoi fare di più in questa barca persa nel blu noi siamo solo dei marinai tutti sommersi non solo tu nelle bufere dei nostri guai perché la guerra la carestia non sono scene viste in t v e non puoi dire lascia che sia perché ne avresti un po colpa anche tu si può dare di più perché é dentro di noi si può dare di più senza essere eroi come fare non so non lo sai neanche tu ma di certo si può dare di più perché il tempo va sulle nostre vite rubando i minuti di un eternità e se parlo con te e ti chiedo di più e' perché te sono io non solo tu si può dare di più perché é dentro di noi si può dare di più senza essere eroi come fare non so non lo sai neanche tu ma di certo si può dare di più come fare non so non lo sai neanche tu ma di certo si può dare di più
1988	Massimo Ranieri	Perdere l’amore	e adesso andate via voglio restare solo con la malinconia volare nel suo cielo non chiesi mai chi eri perchè scegliesti me me che fino ad ieri credevo fossi un re perdere l'amore quando si fa sera quando tra i capelli un pò d'argento li colora rischi di impazzire può scoppiarti il cuore perdere una donna e avere voglia di morire lasciami gridare rinnegare il cielo prendere a sassate tutti i sogni ancora in volo li farò cadere ad uno ad uno spezzerò le ali del destino e ti avrò vicino comunque ti capisco e ammetto che sbagliavo facevo le tue scelte chissà che pretendevo e adesso che rimane di tutto il tempo insieme un uomo troppo solo che ancora ti vuol bene perdere l'amore quando si fa sera quando sopra al viso c'è una ruga che non c'era provi a ragionare fai l'indifferente fino a che ti accorgi che non sei servito a niente e vorresti urlare soffocare il cielo sbattere la testa mille volte contro il muro respirare forte il suo cuscino dire è tutta colpa del destino se non ti ho vicino perdere l'amore maledetta sera e raccogli i cocci di una vita immaginaria pensi che domani è un giorno nuovo ma ripeti non me l'aspettavo non me l'aspettavo prendere a sassate tutti i sogni ancora in volo li farò cadere ad uno ad uno spezzerò le ali del destino e ti avrò vicino perdere l'amore
1989	Anna Oxa, Fausto Leali	Ti lascerò	s bardotti - f berlincioni - f ciani - f fasano - f leali ti lascerò andare ma indifesa come sei farei di tutto per poterti trattenere perchè dovrai scontrarti con i sogni che si fanno quando si vive intensamente la tua età ti lascerò provare a dipingere i tuoi giorni con i colori accesi dei tuoi anni ti aiuterò a sconfiggere i dolori che verranno perchè saranno anche più grandi degli amori che ti avranno e lascerò ai tuoi occhi tutta una vita da guardare ma è la tua vita e non trattarla male ti lasceròcrescere ti lasceròscegliere ti lascerò anche sbagliareti lascerò ti lascerò decidere per chi sarà al tuo fianco piuttosto che permettere di dirmi che sei stanco lo faccio perché in te ho amato l'uomo e il suo coraggio e quella forza di cambiare per poi ricominciare e quando avrò davanti agli occhi altri due occhi da guardare il mio silenzio lo sentirai gridare ti lasceròvivere ti lasceròridere ti lasceròti lascerò e lascerò ai tuoi sorrisi la voglia di scoppiare ed il tuo orgoglio lo lascerò sfogare ti lasceròcredere ti lasceròscegliere ti lasceròti lascerò ti lasceròvivere ti lasceròvivere ti lasceròti lascerò
1990	Pooh	Uomini soli	li incontri dove la gente viaggia e va a telefonare col dopobarba che sa di pioggia e la ventiquattro ore perduti nel corriere della sera nel va e vieni di una cameriera ma perché ogni giorno viene sera a volte un uomo è da solo perché ha in testa strani tarli perché ha paura del sesso o per la smania di successo per scrivere il romanzo che ha di dentro perché la vita l'ha già messo al muro o perché in mondo falso è un un uomo vero dio delle città e dell'immensità se è vero che ci sei e hai viaggiato più di noi vediamo se si può imparare questa vita e magari un po' cambiarla prima che ci cambi lei vediamo se si può farci amare come siamo senza violentarci più con nevrosi e gelosie perché questa vita stende e chi è steso dorme o muore oppure fa l'amore ci sono uomini soli per la sete d'avventura perché han studiato da prete o per vent'anni di galera per madri che non li hanno mai svezzati per donne che li han rivoltati e persi o solo perché sono dei diversi dio delle città e dell'immensità se è vero che ci sei e hai viaggiato più di noi vediamo se si può imparare queste donne e cambiare un po' per loro e cambiarne un po' per noi ma dio delle città e dell'immensità magari tu ci sei e problemi non ne hai ma quaggiù non siamo in cielo e se un uomo perde il filo è soltanto un uomo solo
1991	Riccardo Cocciante	Se stiamo insieme	ma quante storie ho già vissuto nella vita e quante programmate chi lo sa sognando ad occhi aperti storie di fiumi di grandi praterie senza confini storie di deserti e quante volte ho visto dalla prua di una barca tra spruzzi e vento l'immensità del mare spandersi dentro e come una carezza calda illuminarmi il cuore e poi la neve bianca gli alberi gli abeti l'abbraccio del silenzio colmarmi tutti i sensi sentirsi solo e vivo tra le montagne grandi e i grandi spazi immensi e poi tornare qui riprendere la vita dei giorni uguale ai giorni discutere con te tagliarmi con il ghiaccio dei quotidiani inverni no non lo posso accettare non è la vita che avrei voluto mai desiderato vivere non è quel sogno che sognavamo insieme fa piangere eppure io non credo questa sia l'unica via per noi se stiamo insieme ci sarà un perché e vorrei riscoprirlo stasera se stiamo insieme qualche cosa c'è che ci unisce ancora stasera mi manchi sai mi manchi sai e poi tornare qui riprendere la vita che sembra senza vita discutere con te e consumar così i pochi istanti eterni no non lo posso accettare che vita è restare qui a logorarmi in discussioni sterili giocar con te a farsi male il giorno di notte poi rinchiudersi eppure io non credo questa sia l'unica via per noi se stiamo insieme ci sarà un perché e vorrei riscoprirlo stasera se stiamo insieme qualche cosa c'è che ci unisce ancora stasera mi manchi sai mi manchi sai
1992	Luca Barbarossa	Portami a ballare	portami a ballare portami a ballare uno di quei balli antichi che nessuno sa fare più sciogli i tuoi capelli lasciali volare lasciali girare forte intorno a noi lasciati guardare lasciati guardare sei così bella che non riesco più a parlare di fronte a quei tuoi occhi così dolci e così severi perfino il tempo si è fermato ad aspettare parlami di te di quello che facevi se era proprio questa la vita che volevi di come ti vestivi di come ti pettinavi se avevo un posto già in fondo ai tuoi pensieri dai mamma dai questa sera lasciamo qua i tuoi problemi e quei discorsi sulle rughe e sull'età dai mamma dai questa sera fuggiamo via è tanto che non stiamo insieme e non è certo colpa tua ma io ti sento sempre accanto anche quando non ci sono io ti porto ancora dentro anche adesso che sono un uomo e vorrei vorrei saperti più felice sì vorrei vorrei dirti molte più cose ma sai mamma sai questa vita mi fa tremare e sono sempre i sentimenti i primi a dover pagare ciao mamma ciao domani vado via ma se ti senti troppo sola allora ti porto via e vorrei vorrei saperti più felice sì vorrei vorrei dirti molte più cose portami a ballare portami a ballare uno di quei balli antichi che nessuno sa fare nessuno sa fare più
1993	Enrico Ruggeri	Mistero	strofa : ketama questa musica inizia appena abbassano il sipario guarda nei miei occhi lo sguardo da sicario metti i soldi sopra il piatto e lancia questo dado vuoi il mistero della sfinge il potere del denaro siamo angeli caduti agli angoli di strada muti senza parole pe' descrive' il vuoto delle nostre vite con futuro assicurato posto prenotato al camposanto o risolvo il rompicapo o meglio se non campo tanto metti che domani perdo la pazienza e muoio come andrea pazienza dimme di me che cosa resta mezza canna spenta sul davanzale della finestra il piscio sulla tavoletta bridge: ketama pezzi gialli pezzi bianchi pezzi rosa pezzi verdi pezzi alti banconota pezzi vari pezzi sula via di casa pezzi grossi pezzi bassi acqua poca ritornello: ketama questa è la mia strada vada come va questa è la mia strada questa è la mia squadra qualunque cosa accada questa è la mia squadra io sto qui coi dieci seduto sulle scale brucio grammi io sto qui coi dieci seduto sulle scale brucio grammi strofa : seany la mia esistenza piuttosto banale un alveare che brucia in giardino rimbocco maniche e coperte così da starti vicino respiro lento a volte accelero potevo vincerla l'ho persa anfiteatro in disco fisse cantate incontrata traiettoria intercettata sulla via del signore la luce spenta del faro mi direziona verso il prossimo traguardo avessi solo un momento per dirti quello che penso chiedendoti il segreto paradiso il mistero della sfinge ci dipinge occhi sopra palpebre danzanti ballano dando di matto esagerando con qualsiasi cosa sotto mano mi percuoto testa e corpo tesso delirio contorto ricordati di me di quello che penso di quello che t'ho fatto quando al bar chiedi un amaro strano lo sguardo tuo che m'ha colpito cielo blu stellato manto erboso cado outro: ketama io sto qui coi miei g seduto sulle scale brucio grammi io sto qui coi miei g seduto sulle scale brucio grammi
1994	Aleandro Baldi	Passerà	strofa è la paura di invecchiare di perdere i capelli e di dovere stare bene di scendere di casa da una fune per arrivare a stringerci la mano e tutte quelle rughe sono schiaffi della mente sono strade senza un senso e che non portano mai a niente ritornello non ridere e non piangere non stringermi le mani siamo sporchi siamo umani prima o poi ci passerà la luna che ci insegue in fondo alla salita costruiamoci una casa prima o poi ci passerà prima o poi ci passerà x strofa ritroviamoci per strada per urlare il nostro nome con quel poco che rimane fra milioni di persone finalmente dormiremo avremo un posto dove stare ma saremo troppo stanchi per poterlo raccontare ritornello
1995	Giorgia	Come saprei	come saprei capire l'uomo che sei come saprei scoprire poi le fantasie che vuoi io ci arriverei nel profondo dentro te nei silenzi tuoi emozionando sempre più come saprei stupire l'uomo che sei quando stai lì e non sai che voli prendere come saprei richiamare gli occhi tuoi incollarli ai miei emozionando sempre più nel mondo che solitudini ci dà perché non resti un po' con me come saprei amarti io nessuno saprebbe mai come saprei riuscirci io ancora non lo sai io ci metterò tutta l'anima che ho quanta vita sei da vivere adesso come saprei io vorrei che fosse già pelle il contatto che c'è io vorrei che fossero stelle ogni volta con te come saprei amarti io nessuno saprebbe mai come saprei riuscirci io ancora non lo sai io ci metterò tutta l'anima che ho quanta vita sei da vivere adesso come saprei quanto amore c'è pronto a scoppiare in me quanta vita sei da vivere adesso sì adesso come saprei
